keyword,title,link,authors,journal,year,snippet,full_abstract,pdf_url
Chess By panchatantra,AN ELEVENTH CENTURY HISPANO-ARABIC SOURCE FOR THE HISTORY OF ANCIENT INDIAN SCIENCES AND CULTURE,https://www.jstor.org/stable/44155478,MS Khan,Proceedings of the Indian History Congress,1967,… and a marvel of their excellent skill is the game of chess. The Indians compose double numbers from the squares of this chess in which there are secrets that they believe to be the …,,
Chess By panchatantra,An evaluation of the yoga system of physical education,https://search.proquest.com/openview/24165d1f96b1cda0212f2201d7f2129d/1?pq-origsite=gscholar&cbl=18750&diss=y,RL Prasad,1959,1959,"… ""The game of chess, which had its origin in India probably developed … The game of chess found its way from India to Europe through the Arabs, perhaps at the time of the Crusaders. …",,
Chess By panchatantra,India's Strategic Culture: In Search of a Systemic Element,https://eng.globalaffairs.ru/wp-content/uploads/2022/08/134-156.pdf,OA Alekseeva-Karnevali,Russia in Global Affairs,2022,"… (dated the 5th century BC), the collection Panchatantra (the 3rd century BC), and Kautilya’s … This is a model that looks quite Western, similar to the chess-like positional strategy of …",,https://eng.globalaffairs.ru/wp-content/uploads/2022/08/134-156.pdf
Chess By panchatantra,Contribution of Public Librarians for Empowering Research in Public libraries of the Chennai region through library programs for Social advancement,,"B Sridevi, C Baskaran",2021,2021,,,
Chess By panchatantra,World History: An Analytical Survey from Mid-First Millennium to the Twenty-First Century,https://books.google.com/books?hl=en&lr=&id=SdgrEAAAQBAJ&oi=fnd&pg=PR1&dq=Chess+By+panchatantra&ots=uFDR8Fc18_&sig=XOipxHk9iPeL0_-rm3wvIvOm75I,LD Satya,2020,2020,"… of chess, and the children’s story book called Panchatantra (translated into Persian as Kalila wa-Dimna) where for the first-time animals and birds speak in human languages like the …",,
Chess By panchatantra,The role of didactic works in world literature,https://www.neliti.com/publications/333081/the-role-of-didactic-works-in-world-literature,DB Zaripova,International Journal on Integrated Education,2020,"… Caykovus explains how the chess players need to know the rules of chess and racing, shooting at the bow and fighting rules. In addition to commenting on the etiquette of shattranj, nard…",,
Chess By panchatantra,Spectre of Fascism,https://lokayat.org.in/books/Fascism_Eng.pdf,LS Yatra,lokayat.org.in,,"… of Panchatantra, chess and the decimal placement of numerals. After this, in the subsequent decades and centuries, several other poets wrote patriotic poems, many of them again in …",,https://lokayat.org.in/books/Fascism_Eng.pdf
Chess By panchatantra,""" Blyndes bestes"": aspects of Chaucer's animal world",https://open.library.ubc.ca/soa/cIRcle/collections/831/831/items/1.0105748,B Rowland,1962,1962,"The medieval animal world was vast and included mythical creatures as well as birds, reptiles and other beasts. This dissertation confines itself mainly to mammals. It explores the …",,https://open.library.ubc.ca/media/download/pdf/831/1.0105748/1
Chess By panchatantra,QUERY SHEET,https://www.academia.edu/download/68088533/RIIJ_A_1649175.pdf,RAJ ANAND,academia.edu,,… the hand of a fairy princess by defeating her father at chess. The tale “fired Anand’s imagination” … The world-famous Panchatantra (a collection of animal tales) is particularly popular in …,,https://www.academia.edu/download/68088533/RIIJ_A_1649175.pdf
Chess By panchatantra,Folk Imagination and Singing Women in the Short Stories of Mulk Raj Anand,https://www.tandfonline.com/doi/abs/10.1080/1369801X.2019.1649175,S Amar,Interventions,2019,… hand of a fairy princess by defeating her father at chess. The tale “fired Anand’s imagination” … The tales recorded in Panchatantra or Aesop’s fables often use animals to reflect on human …,,
Chess By panchatantra,"The impact of the Indo-Arabic fable tradition on the"" Esope"" of Marie de France: A literary, historical, and folkloristic study",https://search.proquest.com/openview/952a180d5a367d3145e1feaaf2f2602b/1?pq-origsite=gscholar&cbl=18750&diss=y,J Sethuraman,1998,1998,"… 73 “De mure uxorem petente"" to the Arabic Kalila-wa-Dimnah, which is ultimately derived from the Indian Panchatantra one of the earliest collections of animal fables. The fables are …",,
Chess By panchatantra,Forced homeschooling during Covid-19 pandemic,https://old.rrjournals.com/wp-content/uploads/2021/02/85-92_RRIJM20210602015.pdf,"S Tiwari, NA Khan",Research Review International Journal of …,2021,"The dawn of 2020 brought trouble, anxiety, sensitivity and apprehensions for the coming days. It was a tiny microscopic organism which literally brought an upheaval in our lives. No …",,https://old.rrjournals.com/wp-content/uploads/2021/02/85-92_RRIJM20210602015.pdf
Chess By panchatantra,The adventures of Amir Hamza: Lord of the auspicious planetary conjunction,https://books.google.com/books?hl=en&lr=&id=MmYCcWDW7mMC&oi=fnd&pg=PR7&dq=Chess+By+panchatantra&ots=5OUhDNlCVy&sig=0p48MavxZwt0nXZH5vhlT7u0lwY,G Lakhnavī,2007,2007,"… that it was the historical Buzurjmehr who brought the game of chess to Iran from India, as well as the Sanskrit text of Panchatantra, which in its initial Pahlavi and subsequent Syriac and …",,
Chess By panchatantra,"MARGINALITY, SEXUALITY AND ANIMAL IMAGERY IN BHABENDRA NATH SAIKIA'S SHORT-STORIES BATS AND RATS","https://www.literaryendeavour.org/files/p2ruijzihepngcvtjhrv/2015-01%2000%20Vol.%20VI,%20Issue%201,%20%20January%202015.pdf#page=44",T Saikia,LITERARY ENDEAVOUR,2014,Use of animal imagery in literary works has been practiced since the antiquities. Our folktales are replete with allegories and fables having animal symbolism. Antiquarian literature like …,,"https://www.literaryendeavour.org/files/p2ruijzihepngcvtjhrv/2015-01%2000%20Vol.%20VI,%20Issue%201,%20%20January%202015.pdf#page=44"
Chess By panchatantra,"weirid pitcture of Shiv or Ram from this book. For instance, Gardizi, while describing Ramaniya sect, writes that they live in the province of Dakshinapath",,Z Akbar,South Asian Studies,1996,,,
Chess By panchatantra,"AZ of Indian History: 80 Fun Stories from Ancient India to Independence| Cool Trivia, Bright Full-Coloured Illustrations| Ages 10+",https://books.google.com/books?hl=en&lr=&id=92XAEQAAQBAJ&oi=fnd&pg=PA9&dq=Chess+By+panchatantra&ots=ypIBjo6qoa&sig=LCgahfBpVzYjvTJLbFbxdDHS-K4,"A Garodia, S Garodia",2026,2026,"Did you know that in Mughal times, sixty feet of incredibly fine Indian muslin could fit into a small pocket snuffbox? Or that the first Indian stunt heroine, the swashbuckling ‘Hunterwali’…",,
